iter	Logloss
320	0.2919007236
321	0.291788007
322	0.2917186029
323	0.2916166394
324	0.2915520435
325	0.2914789233
326	0.2913889739
327	0.2913038623
328	0.2911561294
329	0.2910435081
330	0.2909567551
331	0.2908016834
332	0.2907985592
333	0.2907329627
334	0.2906305636
335	0.290614376
336	0.2905566291
337	0.2904652083
338	0.2903689896
339	0.2902774318
340	0.2898393865
341	0.2897495353
342	0.2896500512
343	0.2895691749
344	0.2894851574
345	0.2892643415
346	0.2891707501
347	0.2890998399
348	0.2888338615
349	0.2887406813
350	0.2886848523
351	0.2885979061
352	0.2885272542
353	0.2884143324
354	0.2881400028
355	0.288050265
356	0.2879774
357	0.2879756644
358	0.2879081476
359	0.2878147301
360	0.2877562994
361	0.2875880928
362	0.2875390656
363	0.287498661
364	0.2874221734
365	0.2873306754
366	0.287257488
367	0.2870498515
368	0.2869549375
369	0.286923203
370	0.2868370112
371	0.2867652356
372	0.2866610178
373	0.2865684346
374	0.2864838099
375	0.2864043
376	0.2863402071
377	0.2862899509
378	0.2862407944
379	0.2861354178
380	0.286100364
381	0.2860102787
382	0.2859343288
383	0.2859207079
384	0.2858305264
385	0.2857352885
386	0.2856712066
387	0.2855908807
388	0.2854889869
389	0.2854704281
390	0.2853864462
391	0.2853083305
392	0.2852597389
393	0.2851826125
394	0.2851064191
395	0.2850184456
396	0.285017173
397	0.2849080586
398	0.2848601982
399	0.2847981638
