iter	Logloss
0	0.6340151989
1	0.592261425
2	0.5651640205
3	0.5415490373
4	0.5171844459
5	0.4959212321
6	0.4834171737
7	0.4724702195
8	0.4615808675
9	0.4539197787
10	0.4448784143
11	0.4378439415
12	0.4325872597
13	0.4275532121
14	0.4222186454
15	0.416404008
16	0.4126517575
17	0.4079595585
18	0.4038612137
19	0.4009193462
20	0.3984339546
21	0.3961640794
22	0.3936723046
23	0.3915862442
24	0.389716179
25	0.3880357652
26	0.3863584121
27	0.3844047662
28	0.3828432082
29	0.3803913652
30	0.3792029545
31	0.3756608029
32	0.3745409897
33	0.3735465473
34	0.3723839738
35	0.3713028319
36	0.3701443674
37	0.3691167815
38	0.3680923155
39	0.3671691531
40	0.3663301328
41	0.3654526504
42	0.364711459
43	0.3626874899
44	0.3620543684
45	0.3613411979
46	0.3605503885
47	0.3599122095
48	0.3586615846
49	0.3578793793
50	0.3573309785
51	0.3566894449
52	0.3559421769
53	0.3553704857
54	0.3541690223
55	0.3534263108
56	0.3528688565
57	0.3523623038
58	0.351904686
59	0.3514454986
60	0.3510302153
61	0.3504646797
62	0.3499565027
63	0.3493606253
64	0.3489581995
65	0.348418603
66	0.3480099946
67	0.3475546557
68	0.3471712538
69	0.3468360537
70	0.346378765
71	0.3459090559
72	0.3455794666
73	0.3451532632
74	0.3442656057
75	0.3439859664
76	0.3436574763
77	0.3424933595
78	0.341575424
79	0.3412490951
80	0.3407005641
81	0.3402222822
82	0.3399297753
83	0.3397252724
84	0.3393151937
85	0.3390656463
86	0.3387748789
87	0.3385406569
88	0.3382023113
89	0.3378518018
90	0.3367267573
91	0.3365373661
92	0.3362868698
93	0.3359894772
94	0.3348633685
95	0.3345867164
96	0.3343841032
97	0.3338478839
98	0.3336042893
99	0.3333002663
100	0.3330433764
101	0.3326570366
102	0.3324235857
103	0.3316100474
104	0.3314156541
105	0.3312337007
106	0.3310392463
107	0.3308242026
108	0.3305082539
109	0.3301351718
110	0.3298148834
111	0.3294887382
112	0.3292340623
113	0.3290492524
114	0.3288539726
115	0.3286229572
116	0.3284486824
117	0.3282268001
118	0.3279579276
119	0.3278078362
120	0.3274532229
121	0.3271630059
122	0.3269560254
123	0.32680845
124	0.3266099586
125	0.3264000071
126	0.3261323752
127	0.3256425446
128	0.325423943
129	0.3251947526
130	0.3250370013
131	0.3248099414
132	0.324456192
133	0.3241247766
134	0.3238403332
135	0.3236403763
136	0.3229272889
137	0.3227007522
138	0.3225203206
139	0.32216051
140	0.3216153883
141	0.3214285397
142	0.32121586
143	0.321066902
144	0.3209062232
145	0.320733185
146	0.3205409175
147	0.3203566147
148	0.3201989321
149	0.3195069018
150	0.3192482322
151	0.3190670753
152	0.3189040324
153	0.3183137865
154	0.3181341356
155	0.3176264318
156	0.3174669208
157	0.317291752
158	0.3171227719
159	0.3169363449
160	0.3165290709
161	0.3163443968
162	0.3162016563
163	0.3160306043
164	0.315844799
165	0.3156888027
166	0.315489512
167	0.3153738716
168	0.3150550775
169	0.3149158077
170	0.3147344244
171	0.3145459349
172	0.314381729
173	0.3138095625
174	0.3136434452
175	0.312800141
176	0.3125721713
177	0.3124163187
178	0.3118340522
179	0.3114737367
180	0.310742902
181	0.3106033844
182	0.310104479
183	0.3097230016
184	0.3096005916
185	0.3094339467
186	0.3092689434
187	0.3090380398
188	0.3088865545
189	0.3086965355
190	0.3085497912
191	0.3084258491
192	0.3082439048
193	0.3080650824
194	0.3078985378
195	0.3077895451
196	0.3076646819
197	0.3074657509
198	0.3073337929
199	0.3072063912
200	0.307023786
201	0.3068744907
202	0.3067622838
203	0.3066535088
204	0.3065149128
205	0.3063032823
206	0.3061911248
207	0.3058330338
208	0.3056919872
209	0.3055620395
210	0.3053803084
211	0.3052678112
212	0.3051862001
213	0.3050638175
214	0.3049433368
215	0.3047845438
216	0.3046383085
217	0.3045197976
218	0.3044122179
219	0.3042627846
220	0.3041284441
221	0.3039876284
222	0.3038612538
223	0.3037572117
224	0.3036089305
225	0.303502368
226	0.3034002845
227	0.3032637328
228	0.3031590847
229	0.3029440559
230	0.3026392837
231	0.3025439047
232	0.3023988686
233	0.3022660467
234	0.3021532559
235	0.3020513798
236	0.301928364
237	0.3018106367
238	0.3017097943
239	0.3015876751
240	0.301274046
241	0.3011818547
242	0.3010697514
243	0.300985943
244	0.3009231847
245	0.3008204261
246	0.3007113325
247	0.3006259061
248	0.3005342998
249	0.3004267838
250	0.3003334079
251	0.3002479952
252	0.3001795154
253	0.3000796865
254	0.2999653548
255	0.2998594527
256	0.2997607775
257	0.2996080714
258	0.2994996704
259	0.2993736867
260	0.2992654537
261	0.2989877873
262	0.2988614166
263	0.2987723011
264	0.2986583085
265	0.2985688714
266	0.2984620271
267	0.2983813706
268	0.2982868997
269	0.2981727308
270	0.2980764941
271	0.297878181
272	0.297782359
273	0.2977201968
274	0.2976062052
275	0.2974975405
276	0.2973996519
277	0.2973036384
278	0.2972230899
279	0.2971629862
280	0.2970699531
281	0.2969925148
282	0.2968395724
283	0.2967436149
284	0.2966171789
285	0.2964902188
286	0.296421605
287	0.2962995869
288	0.2961949063
289	0.295969416
290	0.2958678051
291	0.295761378
292	0.2956587295
293	0.2955632346
294	0.2954680166
295	0.2953753444
296	0.2952460047
297	0.2951618081
298	0.2949314787
299	0.2948433925
300	0.2947551246
301	0.2946754098
302	0.294486531
303	0.2944044364
304	0.2943046867
305	0.2942118822
306	0.2941107629
307	0.2940304096
308	0.2935576281
309	0.2934718255
310	0.2932661048
311	0.2930776848
312	0.292997975
313	0.2929942695
314	0.2928947203
315	0.2928071511
316	0.2927187827
317	0.2923696522
318	0.2922684587
319	0.291981663
